Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-01-11,"Rainy Day",V4,,https://www.mountainproject.com/route/125553432/rainy-day,4,"Colorado > Fort Collins > Poudre Canyon > Rainy Day Boulders",3.0,-1,Send,,Boulder,,0,20400
2023-12-22,"Ugly Stick",5.10b,"good enduro sesh",https://www.mountainproject.com/route/105816289/ugly-stick,4,"Colorado > Golden > North Table Mountain/Golden Cliffs > Winter Warmer Area",3.0,3,TR,,Sport,,110,2900
2023-12-16,[Redacted],5.11a,"pumpy for a warm up, but good climbing, will come back",https://www.mountainproject.com/route/105750385/redacted,1,"Colorado > Golden > Clear Creek Canyon > The Highlands aka Highlander",2.5,2,Lead,Fell/Hung,Sport,,100,4600
2023-12-16,"This Bone's For You",5.9,,https://www.mountainproject.com/route/105750481/this-bones-for-you,1,"Colorado > Golden > North Table Mountain/Golden Cliffs > The Risk Area",1.9,1,TR,,Sport,,45,2400
2023-12-16,"Mettle Detector","5.10d R",,https://www.mountainproject.com/route/105752527/mettle-detector,2,"Colorado > Golden > North Table Mountain/Golden Cliffs > The Risk Area",2.1,2,TR,,"Trad, TR",,,3500
2023-12-16,Handcrack,5.8,,https://www.mountainproject.com/route/105752530/handcrack,2,"Colorado > Golden > North Table Mountain/Golden Cliffs > The Risk Area",2.4,2,TR,,Trad,,45,2100
2023-11-12,"Neo-Quasi Bugaloo",5.10b,"revenge, just climb off the bolts to the left and it's pretty chill@ 10b",https://www.mountainproject.com/route/105752605/neo-quasi-bugaloo,1,"Colorado > Golden > Clear Creek Canyon > The Highlands aka Highlander",2.4,2,Lead,Redpoint,Sport,,100,2900
2023-11-12,"Blue Sky Mining",5.11d,"awesome dynamic crux overhang, b4 sketch is much better with an extended draw ",https://www.mountainproject.com/route/105749758/blue-sky-mining,2,"Colorado > Golden > Clear Creek Canyon > The Highlands aka Highlander",2.8,3,Lead,Redpoint,Sport,,85,5500
2023-11-04,Resume,5.9,,https://www.mountainproject.com/route/105753664/resume,1,"Colorado > Golden > Clear Creek Canyon > The Highlands aka Highlander",1.5,1,Lead,Onsight,Sport,,,2400
2023-11-04,"Blue Sky Mining",5.11d,"feel stronger than last year, fun route, little sketchy bolting. first lip rockover is def tech crux.",https://www.mountainproject.com/route/105749758/blue-sky-mining,1,"Colorado > Golden > Clear Creek Canyon > The Highlands aka Highlander",2.8,3,Lead,Fell/Hung,Sport,,85,5500
2023-11-04,"Neo-Quasi Bugaloo",5.10b,"greased the slab, clean fall",https://www.mountainproject.com/route/105752605/neo-quasi-bugaloo,1,"Colorado > Golden > Clear Creek Canyon > The Highlands aka Highlander",2.4,2,Lead,Fell/Hung,Sport,,100,2900
2023-10-22,"The Escape",5.8,"1 star for the span across the gully to approach, actual pitches are not great. maybe better than the hike out at least. will prob simul next time",https://www.mountainproject.com/route/106433642/the-escape,3,"Colorado > Gunnison > Black Canyon of the Gunnison > North Rim Routes > SOB Gully (skier's left side)",1.8,1,Lead,Onsight,Trad,,400,2100
2023-10-22,"Lightning Bolt Crack",5.11,"awesome moves, great gear, would love to project something like this.",https://www.mountainproject.com/route/112091001/lightning-bolt-crack,1,"Colorado > Gunnison > Black Canyon of the Gunnison > North Rim Routes > SOB Gully (skier's left side)",3.9,4,Follow,,Trad,,75,5000
2023-10-22,"Escape Artist",5.10a,"amazing intro to the black canyon with Chase",https://www.mountainproject.com/route/105753301/escape-artist,6,"Colorado > Gunnison > Black Canyon of the Gunnison > North Rim Routes > SOB Gully (skier's left side)",3.5,4,Lead,Onsight,Trad,,,2600
2023-10-15,"Hairstyles and Attitudes",5.12b/c,"rough one today, learned about knee bar rest though",https://www.mountainproject.com/route/105755695/hairstyles-and-attitudes,1,"Colorado > Boulder > Eldorado Canyon State Park > The Bastille > The Bastille - N Face",3.8,4,Follow,,"Trad, Sport",,,7100
2023-10-15,"The Bastille Crack",5.7,"to hairstyles ",https://www.mountainproject.com/route/105748490/the-bastille-crack,3,"Colorado > Boulder > Eldorado Canyon State Park > The Bastille > The Bastille - N Face",3.5,4,Lead,Onsight,Trad,,350,1800
2023-10-15,"Super Slab",5.10+,"checked out p1 crux, thin and balancy, good climbing. ",https://www.mountainproject.com/route/105749728/super-slab,1,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.8,-1,Follow,,Trad,,,3300
2023-10-15,Ruper,5.8+,"w/ chase",https://www.mountainproject.com/route/105748774/ruper,3,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.6,4,Lead,Redpoint,Trad,,240,2200
2023-10-08,"Windows On the World",5.12b,"TR the 12b boulder problem, got a sequence worked out, hard but fun and short",https://www.mountainproject.com/route/105761151/windows-on-the-world,1,"Colorado > Empire > Ra",3.7,4,TR,,Sport,,400,6900
2023-10-08,"Nearer To Thee",5.11c,"Great climbing",https://www.mountainproject.com/route/105763956/nearer-to-thee,2,"Colorado > Empire > Ra",3.8,4,Follow,,Sport,,320,5200
2023-10-08,"Empire of the Air",5.11a,"linked p1&2 into Nearer to Thee",https://www.mountainproject.com/route/105757252/empire-of-the-air,2,"Colorado > Empire > Ra",3.0,3,Lead,Onsight,"Trad, Sport",,400,4600
2023-10-01,"Hairstyles and Attitudes",5.12b/c,"checking out moves, amazing climbing. crazy to think people have soloed this thin techy exposed pitch",https://www.mountainproject.com/route/105755695/hairstyles-and-attitudes,1,"Colorado > Boulder > Eldorado Canyon State Park > The Bastille > The Bastille - N Face",3.8,4,TR,,"Trad, Sport",,,7100
2023-10-01,"Outer Space","5.10b/c R",,https://www.mountainproject.com/route/105748612/outer-space,2,"Colorado > Boulder > Eldorado Canyon State Park > The Bastille > The Bastille - N Face",3.9,4,Follow,,Trad,,,3100
2023-10-01,"The Bastille Crack",5.7,"linked p1 p2 into outer space ",https://www.mountainproject.com/route/105748490/the-bastille-crack,2,"Colorado > Boulder > Eldorado Canyon State Park > The Bastille > The Bastille - N Face",3.5,4,Lead,Onsight,Trad,,350,1800
2023-09-18,"Return of the King",5.8,"best views world?",https://www.mountainproject.com/route/119095616/return-of-the-king,5,"Colorado > Estes Park Valley > CO Hwy 7 & Tributaries > The Crags > Lower Great Face > C. Wizard's Gate",3.5,4,Lead,Onsight,Sport,,400,2100
